material,content,radius,soil_eps,soil_sig,x,y,folder,target_type,soil_class,burial_depth,depth_class,radius_class,target_difficulty,group_id,stratum,is_hard,image_path,condition_path,split
steel,free_space,0.05,20,0.02,2.85,0.28,steel_free_space_r0.05_eps20_sig0.02_x2.85_y0.28,steel_free_space,S_eps20_sig0.02,0.72,D3_deep,R2_medium_small,easy_strong_reflection,steel_free_space_r0.05_eps20_sig0.02_y0.28,steel_free_space|S_eps20_sig0.02|R2_medium_small|D3_deep,True,dataset_split/images/train/steel_free_space_r0.05_eps20_sig0.02_x2.85_y0.28.png,dataset_split/conditions/train/steel_free_space_r0.05_eps20_sig0.02_x2.85_y0.28.in,train
steel,free_space,0.03,10,0.005,1.88,0.79,steel_free_space_r0.03_eps10_sig0.005_x1.88_y0.79,steel_free_space,S_eps10_sig0.005,0.20999999999999996,D1_shallow,R1_small,easy_strong_reflection,steel_free_space_r0.03_eps10_sig0.005_y0.79,steel_free_space|S_eps10_sig0.005|R1_small|D1_shallow,True,dataset_split/images/train/steel_free_space_r0.03_eps10_sig0.005_x1.88_y0.79.png,dataset_split/conditions/train/steel_free_space_r0.03_eps10_sig0.005_x1.88_y0.79.in,train
pvc,free_space,0.08,10,0.005,1.38,0.47,pvc_free_space_r0.08_eps10_sig0.005_x1.38_y0.47,pvc_free_space,S_eps10_sig0.005,0.53,D2_medium,R3_medium_large,hard_weak_pvc,pvc_free_space_r0.08_eps10_sig0.005_y0.47,pvc_free_space|S_eps10_sig0.005|R3_medium_large|D2_medium,True,dataset_split/images/train/pvc_free_space_r0.08_eps10_sig0.005_x1.38_y0.47.png,dataset_split/conditions/train/pvc_free_space_r0.08_eps10_sig0.005_x1.38_y0.47.in,train
steel,free_space,0.1,20,0.02,2.08,0.27,steel_free_space_r0.1_eps20_sig0.02_x2.08_y0.27,steel_free_space,S_eps20_sig0.02,0.73,D3_deep,R4_large,easy_strong_reflection,steel_free_space_r0.1_eps20_sig0.02_y0.27,steel_free_space|S_eps20_sig0.02|R4_large|D3_deep,True,dataset_split/images/train/steel_free_space_r0.1_eps20_sig0.02_x2.08_y0.27.png,dataset_split/conditions/train/steel_free_space_r0.1_eps20_sig0.02_x2.08_y0.27.in,train
steel,free_space,0.1,10,0.005,1.8,0.67,steel_free_space_r0.1_eps10_sig0.005_x1.8_y0.67,steel_free_space,S_eps10_sig0.005,0.32999999999999996,D2_medium,R4_large,easy_strong_reflection,steel_free_space_r0.1_eps10_sig0.005_y0.67,steel_free_space|S_eps10_sig0.005|R4_large|D2_medium,False,dataset_split/images/train/steel_free_space_r0.1_eps10_sig0.005_x1.8_y0.67.png,dataset_split/conditions/train/steel_free_space_r0.1_eps10_sig0.005_x1.8_y0.67.in,train
pvc,water,0.08,10,0.005,1.56,0.62,pvc_water_r0.08_eps10_sig0.005_x1.56_y0.62,pvc_water,S_eps10_sig0.005,0.38,D2_medium,R3_medium_large,medium_water_filled_pvc,pvc_water_r0.08_eps10_sig0.005_y0.62,pvc_water|S_eps10_sig0.005|R3_medium_large|D2_medium,False,dataset_split/images/train/pvc_water_r0.08_eps10_sig0.005_x1.56_y0.62.png,dataset_split/conditions/train/pvc_water_r0.08_eps10_sig0.005_x1.56_y0.62.in,train
steel,free_space,0.03,4,0.001,2.09,0.5,steel_free_space_r0.03_eps4_sig0.001_x2.09_y0.5,steel_free_space,S_eps4_sig0.001,0.5,D2_medium,R1_small,easy_strong_reflection,steel_free_space_r0.03_eps4_sig0.001_y0.5,steel_free_space|S_eps4_sig0.001|R1_small|D2_medium,True,dataset_split/images/train/steel_free_space_r0.03_eps4_sig0.001_x2.09_y0.5.png,dataset_split/conditions/train/steel_free_space_r0.03_eps4_sig0.001_x2.09_y0.5.in,train
steel,free_space,0.05,4,0.001,1.84,0.58,steel_free_space_r0.05_eps4_sig0.001_x1.84_y0.58,steel_free_space,S_eps4_sig0.001,0.42000000000000004,D2_medium,R2_medium_small,easy_strong_reflection,steel_free_space_r0.05_eps4_sig0.001_y0.58,steel_free_space|S_eps4_sig0.001|R2_medium_small|D2_medium,False,dataset_split/images/train/steel_free_space_r0.05_eps4_sig0.001_x1.84_y0.58.png,dataset_split/conditions/train/steel_free_space_r0.05_eps4_sig0.001_x1.84_y0.58.in,train
steel,free_space,0.05,20,0.02,2.56,0.62,steel_free_space_r0.05_eps20_sig0.02_x2.56_y0.62,steel_free_space,S_eps20_sig0.02,0.38,D2_medium,R2_medium_small,easy_strong_reflection,steel_free_space_r0.05_eps20_sig0.02_y0.62,steel_free_space|S_eps20_sig0.02|R2_medium_small|D2_medium,True,dataset_split/images/train/steel_free_space_r0.05_eps20_sig0.02_x2.56_y0.62.png,dataset_split/conditions/train/steel_free_space_r0.05_eps20_sig0.02_x2.56_y0.62.in,train
steel,free_space,0.03,20,0.02,1.71,0.27,steel_free_space_r0.03_eps20_sig0.02_x1.71_y0.27,steel_free_space,S_eps20_sig0.02,0.73,D3_deep,R1_small,easy_strong_reflection,steel_free_space_r0.03_eps20_sig0.02_y0.27,steel_free_space|S_eps20_sig0.02|R1_small|D3_deep,True,dataset_split/images/train/steel_free_space_r0.03_eps20_sig0.02_x1.71_y0.27.png,dataset_split/conditions/train/steel_free_space_r0.03_eps20_sig0.02_x1.71_y0.27.in,train
pvc,free_space,0.05,20,0.02,2.85,0.44,pvc_free_space_r0.05_eps20_sig0.02_x2.85_y0.44,pvc_free_space,S_eps20_sig0.02,0.56,D3_deep,R2_medium_small,hard_weak_pvc,pvc_free_space_r0.05_eps20_sig0.02_y0.44,pvc_free_space|S_eps20_sig0.02|R2_medium_small|D3_deep,True,dataset_split/images/train/pvc_free_space_r0.05_eps20_sig0.02_x2.85_y0.44.png,dataset_split/conditions/train/pvc_free_space_r0.05_eps20_sig0.02_x2.85_y0.44.in,train
pvc,water,0.08,4,0.001,2.78,0.52,pvc_water_r0.08_eps4_sig0.001_x2.78_y0.52,pvc_water,S_eps4_sig0.001,0.48,D2_medium,R3_medium_large,medium_water_filled_pvc,pvc_water_r0.08_eps4_sig0.001_y0.52,pvc_water|S_eps4_sig0.001|R3_medium_large|D2_medium,False,dataset_split/images/train/pvc_water_r0.08_eps4_sig0.001_x2.78_y0.52.png,dataset_split/conditions/train/pvc_water_r0.08_eps4_sig0.001_x2.78_y0.52.in,train
pvc,free_space,0.08,4,0.001,1.88,0.53,pvc_free_space_r0.08_eps4_sig0.001_x1.88_y0.53,pvc_free_space,S_eps4_sig0.001,0.47,D2_medium,R3_medium_large,hard_weak_pvc,pvc_free_space_r0.08_eps4_sig0.001_y0.53,pvc_free_space|S_eps4_sig0.001|R3_medium_large|D2_medium,True,dataset_split/images/train/pvc_free_space_r0.08_eps4_sig0.001_x1.88_y0.53.png,dataset_split/conditions/train/pvc_free_space_r0.08_eps4_sig0.001_x1.88_y0.53.in,train
steel,free_space,0.05,4,0.001,2.86,0.49,steel_free_space_r0.05_eps4_sig0.001_x2.86_y0.49,steel_free_space,S_eps4_sig0.001,0.51,D2_medium,R2_medium_small,easy_strong_reflection,steel_free_space_r0.05_eps4_sig0.001_y0.49,steel_free_space|S_eps4_sig0.001|R2_medium_small|D2_medium,False,dataset_split/images/train/steel_free_space_r0.05_eps4_sig0.001_x2.86_y0.49.png,dataset_split/conditions/train/steel_free_space_r0.05_eps4_sig0.001_x2.86_y0.49.in,train
steel,free_space,0.1,4,0.001,1.24,0.33,steel_free_space_r0.1_eps4_sig0.001_x1.24_y0.33,steel_free_space,S_eps4_sig0.001,0.6699999999999999,D3_deep,R4_large,easy_strong_reflection,steel_free_space_r0.1_eps4_sig0.001_y0.33,steel_free_space|S_eps4_sig0.001|R4_large|D3_deep,True,dataset_split/images/train/steel_free_space_r0.1_eps4_sig0.001_x1.24_y0.33.png,dataset_split/conditions/train/steel_free_space_r0.1_eps4_sig0.001_x1.24_y0.33.in,train
steel,free_space,0.05,20,0.02,1.88,0.59,steel_free_space_r0.05_eps20_sig0.02_x1.88_y0.59,steel_free_space,S_eps20_sig0.02,0.41000000000000003,D2_medium,R2_medium_small,easy_strong_reflection,steel_free_space_r0.05_eps20_sig0.02_y0.59,steel_free_space|S_eps20_sig0.02|R2_medium_small|D2_medium,True,dataset_split/images/train/steel_free_space_r0.05_eps20_sig0.02_x1.88_y0.59.png,dataset_split/conditions/train/steel_free_space_r0.05_eps20_sig0.02_x1.88_y0.59.in,train
pvc,water,0.08,10,0.005,2.76,0.66,pvc_water_r0.08_eps10_sig0.005_x2.76_y0.66,pvc_water,S_eps10_sig0.005,0.33999999999999997,D2_medium,R3_medium_large,medium_water_filled_pvc,pvc_water_r0.08_eps10_sig0.005_y0.66,pvc_water|S_eps10_sig0.005|R3_medium_large|D2_medium,False,dataset_split/images/train/pvc_water_r0.08_eps10_sig0.005_x2.76_y0.66.png,dataset_split/conditions/train/pvc_water_r0.08_eps10_sig0.005_x2.76_y0.66.in,train
steel,free_space,0.08,20,0.02,1.53,0.27,steel_free_space_r0.08_eps20_sig0.02_x1.53_y0.27,steel_free_space,S_eps20_sig0.02,0.73,D3_deep,R3_medium_large,easy_strong_reflection,steel_free_space_r0.08_eps20_sig0.02_y0.27,steel_free_space|S_eps20_sig0.02|R3_medium_large|D3_deep,True,dataset_split/images/train/steel_free_space_r0.08_eps20_sig0.02_x1.53_y0.27.png,dataset_split/conditions/train/steel_free_space_r0.08_eps20_sig0.02_x1.53_y0.27.in,train
steel,free_space,0.05,20,0.02,2.06,0.61,steel_free_space_r0.05_eps20_sig0.02_x2.06_y0.61,steel_free_space,S_eps20_sig0.02,0.39,D2_medium,R2_medium_small,easy_strong_reflection,steel_free_space_r0.05_eps20_sig0.02_y0.61,steel_free_space|S_eps20_sig0.02|R2_medium_small|D2_medium,True,dataset_split/images/train/steel_free_space_r0.05_eps20_sig0.02_x2.06_y0.61.png,dataset_split/conditions/train/steel_free_space_r0.05_eps20_sig0.02_x2.06_y0.61.in,train
steel,free_space,0.03,20,0.02,2.52,0.27,steel_free_space_r0.03_eps20_sig0.02_x2.52_y0.27,steel_free_space,S_eps20_sig0.02,0.73,D3_deep,R1_small,easy_strong_reflection,steel_free_space_r0.03_eps20_sig0.02_y0.27,steel_free_space|S_eps20_sig0.02|R1_small|D3_deep,True,dataset_split/images/train/steel_free_space_r0.03_eps20_sig0.02_x2.52_y0.27.png,dataset_split/conditions/train/steel_free_space_r0.03_eps20_sig0.02_x2.52_y0.27.in,train
pvc,free_space,0.08,4,0.001,1.84,0.71,pvc_free_space_r0.08_eps4_sig0.001_x1.84_y0.71,pvc_free_space,S_eps4_sig0.001,0.29000000000000004,D1_shallow,R3_medium_large,hard_weak_pvc,pvc_free_space_r0.08_eps4_sig0.001_y0.71,pvc_free_space|S_eps4_sig0.001|R3_medium_large|D1_shallow,True,dataset_split/images/train/pvc_free_space_r0.08_eps4_sig0.001_x1.84_y0.71.png,dataset_split/conditions/train/pvc_free_space_r0.08_eps4_sig0.001_x1.84_y0.71.in,train
