material,content,radius,soil_eps,soil_sig,x,y,folder,target_type,soil_class,burial_depth,depth_class,radius_class,target_difficulty,group_id,stratum,is_hard,image_path,condition_path,split
steel,free_space,0.08,4,0.001,2.8,0.54,steel_free_space_r0.08_eps4_sig0.001_x2.8_y0.54,steel_free_space,S_eps4_sig0.001,0.45999999999999996,D2_medium,R3_medium_large,easy_strong_reflection,steel_free_space_r0.08_eps4_sig0.001_y0.54,steel_free_space|S_eps4_sig0.001|R3_medium_large|D2_medium,False,dataset_split/images/val/steel_free_space_r0.08_eps4_sig0.001_x2.8_y0.54.png,dataset_split/conditions/val/steel_free_space_r0.08_eps4_sig0.001_x2.8_y0.54.in,val
steel,free_space,0.05,5,0.05,2.6,0.56,steel_free_space_r0.05_eps5_sig0.05_x2.6_y0.56,steel_free_space,S_eps5_sig0.05,0.43999999999999995,D2_medium,R2_medium_small,easy_strong_reflection,steel_free_space_r0.05_eps5_sig0.05_y0.56,steel_free_space|S_eps5_sig0.05|R2_medium_small|D2_medium,True,dataset_split/images/stress_test/steel_free_space_r0.05_eps5_sig0.05_x2.6_y0.56.png,dataset_split/conditions/stress_test/steel_free_space_r0.05_eps5_sig0.05_x2.6_y0.56.in,stress_test
steel,free_space,0.03,10,0.005,1.97,0.75,steel_free_space_r0.03_eps10_sig0.005_x1.97_y0.75,steel_free_space,S_eps10_sig0.005,0.25,D1_shallow,R1_small,easy_strong_reflection,steel_free_space_r0.03_eps10_sig0.005_y0.75,steel_free_space|S_eps10_sig0.005|R1_small|D1_shallow,True,dataset_split/images/train/steel_free_space_r0.03_eps10_sig0.005_x1.97_y0.75.png,dataset_split/conditions/train/steel_free_space_r0.03_eps10_sig0.005_x1.97_y0.75.in,train
pvc,water,0.05,5,0.05,1.42,0.69,pvc_water_r0.05_eps5_sig0.05_x1.42_y0.69,pvc_water,S_eps5_sig0.05,0.31000000000000005,D2_medium,R2_medium_small,medium_water_filled_pvc,pvc_water_r0.05_eps5_sig0.05_y0.69,pvc_water|S_eps5_sig0.05|R2_medium_small|D2_medium,True,dataset_split/images/stress_test/pvc_water_r0.05_eps5_sig0.05_x1.42_y0.69.png,dataset_split/conditions/stress_test/pvc_water_r0.05_eps5_sig0.05_x1.42_y0.69.in,stress_test
pvc,water,0.05,20,0.02,2.4,0.59,pvc_water_r0.05_eps20_sig0.02_x2.4_y0.59,pvc_water,S_eps20_sig0.02,0.41000000000000003,D2_medium,R2_medium_small,medium_water_filled_pvc,pvc_water_r0.05_eps20_sig0.02_y0.59,pvc_water|S_eps20_sig0.02|R2_medium_small|D2_medium,True,dataset_split/images/train/pvc_water_r0.05_eps20_sig0.02_x2.4_y0.59.png,dataset_split/conditions/train/pvc_water_r0.05_eps20_sig0.02_x2.4_y0.59.in,train
pvc,free_space,0.03,20,0.02,2.04,0.6,pvc_free_space_r0.03_eps20_sig0.02_x2.04_y0.6,pvc_free_space,S_eps20_sig0.02,0.4,D2_medium,R1_small,hard_weak_pvc,pvc_free_space_r0.03_eps20_sig0.02_y0.6,pvc_free_space|S_eps20_sig0.02|R1_small|D2_medium,True,dataset_split/images/train/pvc_free_space_r0.03_eps20_sig0.02_x2.04_y0.6.png,dataset_split/conditions/train/pvc_free_space_r0.03_eps20_sig0.02_x2.04_y0.6.in,train
steel,free_space,0.08,4,0.001,1.26,0.31,steel_free_space_r0.08_eps4_sig0.001_x1.26_y0.31,steel_free_space,S_eps4_sig0.001,0.69,D3_deep,R3_medium_large,easy_strong_reflection,steel_free_space_r0.08_eps4_sig0.001_y0.31,steel_free_space|S_eps4_sig0.001|R3_medium_large|D3_deep,True,dataset_split/images/train/steel_free_space_r0.08_eps4_sig0.001_x1.26_y0.31.png,dataset_split/conditions/train/steel_free_space_r0.08_eps4_sig0.001_x1.26_y0.31.in,train
pvc,water,0.1,20,0.02,1.26,0.62,pvc_water_r0.1_eps20_sig0.02_x1.26_y0.62,pvc_water,S_eps20_sig0.02,0.38,D2_medium,R4_large,medium_water_filled_pvc,pvc_water_r0.1_eps20_sig0.02_y0.62,pvc_water|S_eps20_sig0.02|R4_large|D2_medium,True,dataset_split/images/train/pvc_water_r0.1_eps20_sig0.02_x1.26_y0.62.png,dataset_split/conditions/train/pvc_water_r0.1_eps20_sig0.02_x1.26_y0.62.in,train
pvc,water,0.08,4,0.001,2.55,0.64,pvc_water_r0.08_eps4_sig0.001_x2.55_y0.64,pvc_water,S_eps4_sig0.001,0.36,D2_medium,R3_medium_large,medium_water_filled_pvc,pvc_water_r0.08_eps4_sig0.001_y0.64,pvc_water|S_eps4_sig0.001|R3_medium_large|D2_medium,False,dataset_split/images/test_id/pvc_water_r0.08_eps4_sig0.001_x2.55_y0.64.png,dataset_split/conditions/test_id/pvc_water_r0.08_eps4_sig0.001_x2.55_y0.64.in,test_id
steel,free_space,0.08,10,0.005,2.99,0.79,steel_free_space_r0.08_eps10_sig0.005_x2.99_y0.79,steel_free_space,S_eps10_sig0.005,0.20999999999999996,D1_shallow,R3_medium_large,easy_strong_reflection,steel_free_space_r0.08_eps10_sig0.005_y0.79,steel_free_space|S_eps10_sig0.005|R3_medium_large|D1_shallow,False,dataset_split/images/val/steel_free_space_r0.08_eps10_sig0.005_x2.99_y0.79.png,dataset_split/conditions/val/steel_free_space_r0.08_eps10_sig0.005_x2.99_y0.79.in,val
steel,free_space,0.03,5,0.05,1.37,0.62,steel_free_space_r0.03_eps5_sig0.05_x1.37_y0.62,steel_free_space,S_eps5_sig0.05,0.38,D2_medium,R1_small,easy_strong_reflection,steel_free_space_r0.03_eps5_sig0.05_y0.62,steel_free_space|S_eps5_sig0.05|R1_small|D2_medium,True,dataset_split/images/stress_test/steel_free_space_r0.03_eps5_sig0.05_x1.37_y0.62.png,dataset_split/conditions/stress_test/steel_free_space_r0.03_eps5_sig0.05_x1.37_y0.62.in,stress_test
pvc,free_space,0.03,10,0.005,1.84,0.3,pvc_free_space_r0.03_eps10_sig0.005_x1.84_y0.3,pvc_free_space,S_eps10_sig0.005,0.7,D3_deep,R1_small,hard_weak_pvc,pvc_free_space_r0.03_eps10_sig0.005_y0.3,pvc_free_space|S_eps10_sig0.005|R1_small|D3_deep,True,dataset_split/images/val/pvc_free_space_r0.03_eps10_sig0.005_x1.84_y0.3.png,dataset_split/conditions/val/pvc_free_space_r0.03_eps10_sig0.005_x1.84_y0.3.in,val
steel,free_space,0.1,20,0.02,2.33,0.8,steel_free_space_r0.1_eps20_sig0.02_x2.33_y0.8,steel_free_space,S_eps20_sig0.02,0.19999999999999996,D1_shallow,R4_large,easy_strong_reflection,steel_free_space_r0.1_eps20_sig0.02_y0.8,steel_free_space|S_eps20_sig0.02|R4_large|D1_shallow,True,dataset_split/images/train/steel_free_space_r0.1_eps20_sig0.02_x2.33_y0.8.png,dataset_split/conditions/train/steel_free_space_r0.1_eps20_sig0.02_x2.33_y0.8.in,train
steel,free_space,0.05,20,0.02,2.09,0.32,steel_free_space_r0.05_eps20_sig0.02_x2.09_y0.32,steel_free_space,S_eps20_sig0.02,0.6799999999999999,D3_deep,R2_medium_small,easy_strong_reflection,steel_free_space_r0.05_eps20_sig0.02_y0.32,steel_free_space|S_eps20_sig0.02|R2_medium_small|D3_deep,True,dataset_split/images/train/steel_free_space_r0.05_eps20_sig0.02_x2.09_y0.32.png,dataset_split/conditions/train/steel_free_space_r0.05_eps20_sig0.02_x2.09_y0.32.in,train
pvc,water,0.03,10,0.005,2.61,0.39,pvc_water_r0.03_eps10_sig0.005_x2.61_y0.39,pvc_water,S_eps10_sig0.005,0.61,D3_deep,R1_small,medium_water_filled_pvc,pvc_water_r0.03_eps10_sig0.005_y0.39,pvc_water|S_eps10_sig0.005|R1_small|D3_deep,True,dataset_split/images/val/pvc_water_r0.03_eps10_sig0.005_x2.61_y0.39.png,dataset_split/conditions/val/pvc_water_r0.03_eps10_sig0.005_x2.61_y0.39.in,val
steel,free_space,0.05,20,0.02,2.77,0.49,steel_free_space_r0.05_eps20_sig0.02_x2.77_y0.49,steel_free_space,S_eps20_sig0.02,0.51,D2_medium,R2_medium_small,easy_strong_reflection,steel_free_space_r0.05_eps20_sig0.02_y0.49,steel_free_space|S_eps20_sig0.02|R2_medium_small|D2_medium,True,dataset_split/images/train/steel_free_space_r0.05_eps20_sig0.02_x2.77_y0.49.png,dataset_split/conditions/train/steel_free_space_r0.05_eps20_sig0.02_x2.77_y0.49.in,train
pvc,water,0.03,4,0.001,1.87,0.63,pvc_water_r0.03_eps4_sig0.001_x1.87_y0.63,pvc_water,S_eps4_sig0.001,0.37,D2_medium,R1_small,medium_water_filled_pvc,pvc_water_r0.03_eps4_sig0.001_y0.63,pvc_water|S_eps4_sig0.001|R1_small|D2_medium,True,dataset_split/images/train/pvc_water_r0.03_eps4_sig0.001_x1.87_y0.63.png,dataset_split/conditions/train/pvc_water_r0.03_eps4_sig0.001_x1.87_y0.63.in,train
pvc,water,0.05,10,0.005,2.52,0.41,pvc_water_r0.05_eps10_sig0.005_x2.52_y0.41,pvc_water,S_eps10_sig0.005,0.5900000000000001,D3_deep,R2_medium_small,medium_water_filled_pvc,pvc_water_r0.05_eps10_sig0.005_y0.41,pvc_water|S_eps10_sig0.005|R2_medium_small|D3_deep,True,dataset_split/images/train/pvc_water_r0.05_eps10_sig0.005_x2.52_y0.41.png,dataset_split/conditions/train/pvc_water_r0.05_eps10_sig0.005_x2.52_y0.41.in,train
pvc,water,0.1,20,0.02,1.64,0.77,pvc_water_r0.1_eps20_sig0.02_x1.64_y0.77,pvc_water,S_eps20_sig0.02,0.22999999999999998,D1_shallow,R4_large,medium_water_filled_pvc,pvc_water_r0.1_eps20_sig0.02_y0.77,pvc_water|S_eps20_sig0.02|R4_large|D1_shallow,True,dataset_split/images/train/pvc_water_r0.1_eps20_sig0.02_x1.64_y0.77.png,dataset_split/conditions/train/pvc_water_r0.1_eps20_sig0.02_x1.64_y0.77.in,train
steel,free_space,0.1,4,0.001,1.49,0.76,steel_free_space_r0.1_eps4_sig0.001_x1.49_y0.76,steel_free_space,S_eps4_sig0.001,0.24,D1_shallow,R4_large,easy_strong_reflection,steel_free_space_r0.1_eps4_sig0.001_y0.76,steel_free_space|S_eps4_sig0.001|R4_large|D1_shallow,False,dataset_split/images/train/steel_free_space_r0.1_eps4_sig0.001_x1.49_y0.76.png,dataset_split/conditions/train/steel_free_space_r0.1_eps4_sig0.001_x1.49_y0.76.in,train
steel,free_space,0.03,10,0.005,2.07,0.5,steel_free_space_r0.03_eps10_sig0.005_x2.07_y0.5,steel_free_space,S_eps10_sig0.005,0.5,D2_medium,R1_small,easy_strong_reflection,steel_free_space_r0.03_eps10_sig0.005_y0.5,steel_free_space|S_eps10_sig0.005|R1_small|D2_medium,True,dataset_split/images/train/steel_free_space_r0.03_eps10_sig0.005_x2.07_y0.5.png,dataset_split/conditions/train/steel_free_space_r0.03_eps10_sig0.005_x2.07_y0.5.in,train
pvc,water,0.08,5,0.05,1.49,0.63,pvc_water_r0.08_eps5_sig0.05_x1.49_y0.63,pvc_water,S_eps5_sig0.05,0.37,D2_medium,R3_medium_large,medium_water_filled_pvc,pvc_water_r0.08_eps5_sig0.05_y0.63,pvc_water|S_eps5_sig0.05|R3_medium_large|D2_medium,True,dataset_split/images/stress_test/pvc_water_r0.08_eps5_sig0.05_x1.49_y0.63.png,dataset_split/conditions/stress_test/pvc_water_r0.08_eps5_sig0.05_x1.49_y0.63.in,stress_test
pvc,free_space,0.08,4,0.001,1.38,0.77,pvc_free_space_r0.08_eps4_sig0.001_x1.38_y0.77,pvc_free_space,S_eps4_sig0.001,0.22999999999999998,D1_shallow,R3_medium_large,hard_weak_pvc,pvc_free_space_r0.08_eps4_sig0.001_y0.77,pvc_free_space|S_eps4_sig0.001|R3_medium_large|D1_shallow,True,dataset_split/images/train/pvc_free_space_r0.08_eps4_sig0.001_x1.38_y0.77.png,dataset_split/conditions/train/pvc_free_space_r0.08_eps4_sig0.001_x1.38_y0.77.in,train
pvc,free_space,0.05,10,0.005,1.26,0.34,pvc_free_space_r0.05_eps10_sig0.005_x1.26_y0.34,pvc_free_space,S_eps10_sig0.005,0.6599999999999999,D3_deep,R2_medium_small,hard_weak_pvc,pvc_free_space_r0.05_eps10_sig0.005_y0.34,pvc_free_space|S_eps10_sig0.005|R2_medium_small|D3_deep,True,dataset_split/images/train/pvc_free_space_r0.05_eps10_sig0.005_x1.26_y0.34.png,dataset_split/conditions/train/pvc_free_space_r0.05_eps10_sig0.005_x1.26_y0.34.in,train
steel,free_space,0.1,10,0.005,2.05,0.72,steel_free_space_r0.1_eps10_sig0.005_x2.05_y0.72,steel_free_space,S_eps10_sig0.005,0.28,D1_shallow,R4_large,easy_strong_reflection,steel_free_space_r0.1_eps10_sig0.005_y0.72,steel_free_space|S_eps10_sig0.005|R4_large|D1_shallow,False,dataset_split/images/val/steel_free_space_r0.1_eps10_sig0.005_x2.05_y0.72.png,dataset_split/conditions/val/steel_free_space_r0.1_eps10_sig0.005_x2.05_y0.72.in,val
steel,free_space,0.03,10,0.005,1.88,0.53,steel_free_space_r0.03_eps10_sig0.005_x1.88_y0.53,steel_free_space,S_eps10_sig0.005,0.47,D2_medium,R1_small,easy_strong_reflection,steel_free_space_r0.03_eps10_sig0.005_y0.53,steel_free_space|S_eps10_sig0.005|R1_small|D2_medium,True,dataset_split/images/train/steel_free_space_r0.03_eps10_sig0.005_x1.88_y0.53.png,dataset_split/conditions/train/steel_free_space_r0.03_eps10_sig0.005_x1.88_y0.53.in,train
pvc,water,0.05,20,0.02,2.32,0.58,pvc_water_r0.05_eps20_sig0.02_x2.32_y0.58,pvc_water,S_eps20_sig0.02,0.42000000000000004,D2_medium,R2_medium_small,medium_water_filled_pvc,pvc_water_r0.05_eps20_sig0.02_y0.58,pvc_water|S_eps20_sig0.02|R2_medium_small|D2_medium,True,dataset_split/images/train/pvc_water_r0.05_eps20_sig0.02_x2.32_y0.58.png,dataset_split/conditions/train/pvc_water_r0.05_eps20_sig0.02_x2.32_y0.58.in,train
pvc,free_space,0.05,5,0.05,1.31,0.59,pvc_free_space_r0.05_eps5_sig0.05_x1.31_y0.59,pvc_free_space,S_eps5_sig0.05,0.41000000000000003,D2_medium,R2_medium_small,hard_weak_pvc,pvc_free_space_r0.05_eps5_sig0.05_y0.59,pvc_free_space|S_eps5_sig0.05|R2_medium_small|D2_medium,True,dataset_split/images/stress_test/pvc_free_space_r0.05_eps5_sig0.05_x1.31_y0.59.png,dataset_split/conditions/stress_test/pvc_free_space_r0.05_eps5_sig0.05_x1.31_y0.59.in,stress_test
steel,free_space,0.03,20,0.02,2.76,0.56,steel_free_space_r0.03_eps20_sig0.02_x2.76_y0.56,steel_free_space,S_eps20_sig0.02,0.43999999999999995,D2_medium,R1_small,easy_strong_reflection,steel_free_space_r0.03_eps20_sig0.02_y0.56,steel_free_space|S_eps20_sig0.02|R1_small|D2_medium,True,dataset_split/images/val/steel_free_space_r0.03_eps20_sig0.02_x2.76_y0.56.png,dataset_split/conditions/val/steel_free_space_r0.03_eps20_sig0.02_x2.76_y0.56.in,val
